,latitude,longitude,remark
S_407,40.6831164,-73.99785267,Clinton St & Union St
S_408,40.668603,-73.9904394,12 St & 4 Ave
S_409,40.7981856,-73.9605909006,W 106 St & Central Park West
S_410,40.6685455,-73.99333264,3 Ave & 14 St
S_411,40.7849032,-73.950503,E 95 St & 3 Ave
S_412,40.67434,-74.00194698,Clinton St & Centre St
S_413,40.7877214,-73.94728331,3 Ave & E 100 St
S_414,40.795,-73.9645,W 100 St & Manhattan Ave
S_415,40.6829151,-73.99318208,Degraw St & Smith St
S_416,40.6725058,-74.00494695,Henry St & Bay St
S_417,40.8013434,-73.9711457439,Riverside Dr & W 104 St
S_418,40.681990442707026,-73.99079024791718,Degraw St & Hoyt St
S_419,40.6747055,-74.0075572,Columbia St & Lorraine St
S_420,40.6772744,-73.98282002,Union St & 4 Ave
S_421,40.787801,-73.953559,E 97 St & Madison Ave
S_422,40.67363551341504,-74.01195555925369,Dwight St & Van Dyke St
S_423,40.7862586,-73.94552579,2 Ave & E 99 St
S_424,40.6765304,-73.97846879,Berkeley Pl & 6 Ave
S_425,40.74238787,-73.99726235,W 20 St & 7 Ave
S_426,40.6753274,-74.0100698,Court St & Nelson St
S_427,40.795346,-73.96186,Central Park West & W 100 St
S_428,40.6777748,-74.0094613,SSP Tech Workshop
S_429,40.7997568,-73.9621128676,W 107 St & Columbus Ave
S_430,40.679043,-74.011169,Pioneer St & Van Brunt St
S_431,40.78948541553215,-73.95242929458618,Madison Ave & E 99 St
S_432,40.675146838709786,-73.97523209452629,Berkeley Pl & 7 Ave
S_433,40.6773429,-74.01275056,3 St & Hoyt St
S_434,40.677236,-74.015665,Coffey St & Conover St
S_435,40.6729679,-73.97087984,Grand Army Plaza & Plaza St West
S_436,40.72903917,-73.99404649,Washington Pl & Broadway
S_437,40.7973721,-73.97041192,W 100 St & Broadway
S_438,40.7869946,-73.94164802,E 102 St & 1 Ave
S_439,40.67267243410948,-74.0087952464819,Sigourney St & Columbia St
S_440,40.6747844,-74.01612847,Reed St & Van Brunt St
S_441,40.668132,-73.97363831,SSP Tech Workshop
S_442,40.76800889305947,-73.96845281124115,E 66 St & Madison Ave
S_443,40.7746671,-73.98470567,Amsterdam Ave & W 66 St
S_444,40.8008363,-73.9664492472,W 106 St & Central Park West
S_445,40.6711978,-73.97484126,Garfield Pl & 8 Ave
S_446,40.7691572,-73.96703464,E 68 St & Madison Ave
S_447,40.73047747,-73.99906065,Sullivan St & Washington Sq
S_448,40.7829391,-73.9786517,Amsterdam Ave & W 79 St
S_449,40.6740886,-73.9787282,Carroll St & 6 Ave
S_450,40.7781314,-73.96069399,Garfield Pl & 8 Ave
S_451,40.7904828,-73.95033068,E 102 St & Park Ave
S_452,40.6751622,-73.9814832,Carroll St & 5 Ave
S_453,40.6703837,-73.97839676,3 St & 7 Ave
S_454,40.8021174,-73.9681805305,West End Ave & W 107 St
S_455,40.7922553,-73.95249933,5 Ave & E 103 St
S_456,40.6728155,-73.98352355,5 Ave & 3 St
S_457,40.772460677893974,-73.94682079553604,E 82 St & East End Ave
S_458,40.7037992,-74.00838676,Old Slip & Front St
S_459,40.7727966,-73.95577801,78 St & 2 Ave
S_460,40.674613422475815,-73.98501142859459,4 Ave & 2 St
S_461,40.7689738,-73.95482273,E 74 St & 1 Ave
S_462,40.6750705,-73.98775226,3 St & 3 Ave
S_463,40.799484,-73.955613,Central Park North & Adam Clayton Powell Blvd
S_464,40.7699426,-73.96060712,3 Ave & E 72 St
S_465,40.76471851944339,-73.96222069859505,E 65 St & 2 Ave
S_466,40.6786115,-73.99037292,Carroll St & Bond St
S_467,40.773763,-73.96222088,E 76 St & Park Ave
S_468,40.7903051,-73.94755757,E 103 St & Lexington Ave
S_469,40.6777287,-73.99364123,3 St & Hoyt St
S_470,40.680611,-73.99475825,Carroll St & Smith St
S_471,40.804213,-73.96699104,Cathedral Pkwy & Broadway
S_472,40.6787242,-73.99599099,Smith St & 3 St
S_473,40.7898175,-73.94296109,2 Ave & E 105 St
S_474,40.6809591,-73.99905709,1 Pl & Clinton St
S_475,40.7934337,-73.94945003,E 106 St & Madison Ave
S_476,40.6828003,-73.99990419,President St & Henry St
S_477,40.6830456,-74.00348559,Carroll St & Columbia St
S_478,40.72580614,-73.97422494,Avenue D & E 12 St
S_479,40.79329668,-73.9432083,E 109 St & 3 Ave
S_480,40.7892529,-73.93956237,E 106 St & 1 Ave
S_481,40.6812117,-74.00860912,Commerce St & Van Brunt St
S_482,40.6794327,-74.00785041,Richards St & Delavan St
S_483,40.6769993,-74.00647134,Court St & Nelson St
S_484,40.6763744,-74.00324957,Union St & 4 Ave
S_485,40.6783563,-74.00014502,2 Ave & 9 St
S_486,40.6763947,-73.99869893,SSP Tech Workshop
S_487,40.6746957,-73.99785768,Smith St & 9 St
S_488,40.67260298150126,-73.98983001708984,7 St & 3 Ave
S_489,40.71269042,-73.98776323,Madison St & Clinton St
S_490,40.7961535,-73.94782145,E 110 St & Madison Ave
S_491,40.6724811,-73.99331394,2 Ave & 9 St
S_492,40.6902375,-73.99203074,Court St & State St
S_493,40.6705135,-73.98876585,4 Ave & 9 St
S_494,40.6704922,-73.98541675,7 St & 5 Ave
S_495,40.6704836,-73.98208968,5 St & 6 Ave
S_496,40.67909799721684,-73.98765474557877,Union St & Nevins St
S_497,40.6881529,-73.99520919,E 103 St & Lexington Ave
S_498,40.6867443,-73.99063168,Bergen St & Smith St
S_499,40.71782143,-73.97628939,Stanton St & Mangin St
S_500,40.6864442,-73.98759104,Dean St & Hoyt St
S_501,40.6849668,-73.98620772,Bond St & Bergen St
S_502,40.6853761,-73.98302136,Pacific St & Nevins St
S_503,40.6827549,-73.98258555,Wyckoff St & 3 Ave
S_504,40.680944723477296,-73.97567331790923,Bergen St & Flatbush Ave
S_505,40.6793307,-73.97519523,Prospect Pl & 6 Ave
S_506,40.6776147,-73.97324283,7 Ave & Park Pl
S_507,40.6795766,-73.97854971,Baltic St & 5 Ave
S_508,40.6750207,-73.97111473,Plaza St West & Flatbush Ave
S_509,40.6792788,-73.98154004,Douglass St & 4 Ave
S_510,40.71739973,-73.98016555,Columbia St & Rivington St
S_511,40.6802133,-73.98432695,Douglass St & 3 Ave
S_512,40.6843549,-73.98901629,Hoyt St & Warren St
S_513,40.6859296,-74.00242364,Columbia St & Degraw St
S_514,40.6610633719006,-73.97945255041122,West Drive & Prospect Park West
S_515,40.791976,-73.945993,E 106 St & Lexington Ave
S_516,40.7892105,-73.94370784,E 95 St & 3 Ave
S_517,40.70965083364061,-74.06860113143921,JCBS Depot
S_518,40.72430527250332,-73.99600982666016,Lafayette St & Jersey St
S_519,40.740983,-74.001702,8 Ave & W 16 St
S_520,40.68506807308177,-73.97790759801863,Hanson Pl & Ashland Pl
S_521,40.69794,-73.96986848,6 Ave & Broome St
S_522,40.71907891179564,-73.94223690032959,Richardson St & N Henry St
S_523,40.746524,-73.977885,E 35 St & 3 Ave
S_524,40.662987,-73.976918,Bike in Movie Night | Prospect Park Bandshell
S_525,40.79025417330419,-73.97718340158461,W 88 St & West End Ave
S_526,40.718822,-73.99596,Grand St & Elizabeth St
S_527,40.721319,-74.010065,Greenwich St & Hubert St
S_528,40.79313480986663,-73.97700369358063,Riverside Dr & W 91 St
S_529,40.772248537721744,-73.95842134952545,E 76 St & 3 Ave
S_530,40.7403432,-73.9895511,Broadway & E 22 St - Valet Scan
S_531,40.6851443,-73.95380904,Monroe St & Bedford Ave
S_532,40.692418292578466,-73.98949474096298,Fulton St & Adams St
S_533,40.752957,-74.00264,10 Hudson Yards
S_534,40.76132983124814,-73.97982001304626,W 52 St & 6 Ave
S_535,40.79181171501097,-73.9786022901535,Riverside Dr & W 89 St
S_536,40.76703432309872,-73.95622730255127,E 71 St & 1 Ave
S_537,40.721462562298164,-73.94800901412964,Eckford St & Engert Ave
S_538,40.73649403,-73.99704374,W 13 St & 6 Ave
S_539,40.7512836,-73.9969245,Penn Station Valet - Valet Scan
S_540,40.71915571696044,-73.94885390996933,Bayard St & Leonard St
S_541,40.71335226222875,-73.9491033554077,Devoe St & Lorimer St
S_542,40.7103685423523,-73.94705951213837,Leonard St & Maujer St
S_543,40.68680820503432,-73.98036181926727,Schermerhorn St & 3 Ave
S_544,40.71638031973561,-73.94821286201477,Jackson St & Leonard St
S_545,40.76302594280519,-73.97209525108337,Bressler
S_546,40.76309387270797,-73.9783501625061,W 55 St & 6 Ave
S_547,40.75763227739443,-73.96930575370789,E 53 St & 3 Ave
S_548,40.73652889,-74.00618026,Bank St & Hudson St
S_549,40.714851505262516,-74.01122331619263,Murray St & Greenwich St
S_550,40.75118387463277,-73.97138714790344,Penn Station Valet - Valet Scan
S_551,40.735367055605394,-73.98797392845154,E 16 St & Irving Pl
S_552,40.75227093837409,-73.98770570755005,W 37 St & Broadway
S_553,40.75668720603179,-73.98257732391357,Bressler
S_554,40.72494672359416,-74.00165855884552,W Broadway & Spring Street
S_555,40.7303801,-73.9747502,Bressler
S_556,40.73181401720966,-73.95995020866394,India St & West St
S_557,40.72873888,-74.00748842,W Houston St & Hudson St
S_558,40.66980193089616,-73.99490475654602,Gowanus Tech Station
S_559,40.66888415753939,-73.99481356143951,NYCBS Depot - GOW Annex
S_560,40.742753828659026,-74.00747358798981,W 15 St & 10 Ave
S_561,40.7252556952547,-74.00412082672119,6 Ave & Spring St
S_562,40.72576996727214,-73.9507395029068,Norman Ave & Leonard St
S_563,40.65539977447831,-74.01062786579132,39 St & 2 Ave - Citi Bike HQ at Industry City
S_564,40.65708866668485,-74.00870203971863,2 Ave & 36 St - Citi Bike HQ at Industry City
S_565,40.68512559515415,-74.02535319328308,Picnic Point
S_566,40.72490985,-74.00154702,Emerson Pl & Myrtle Ave
S_567,40.71649,-74.04105,York St
S_568,40.725208,-73.974724,NYCBS Depot - RIS
S_569,40.688417427540834,-73.98451656103134,Schermerhorn St & Bond St
S_570,40.71069994631387,-74.00354146957397,Gold St & Frankfort St
S_571,40.71850211,-73.98329859,Rivington St & Ridge St
S_572,40.796879,-73.937261,E 116 St & 2 Ave
S_573,40.8005385,-73.9419949,E 118 St & Park Ave
S_574,40.799139,-73.9389152,E 118 St & 3 Ave
S_575,40.797911,-73.9423,E 115 St & Lexington Ave
S_576,40.7945663,-73.9362541,E 114 St & 1 Ave
S_577,40.7923272,-73.9383,1 Ave & E 110 St
S_578,40.7949879,-73.9333349,Pleasant Ave & E 116 St
S_579,40.8006721,-73.9349,2 Ave & E 122 St
S_580,40.71559509,-73.9870295,Clinton St & Grand St
S_581,40.7989445,-73.944846,E 115 St & Madison Ave
S_582,40.8014866,-73.9442507,E 118 St & Madison Ave
S_583,40.7954121,-73.9441232,Lexington Ave & E 111 St
S_584,40.80295,-73.942954,Madison Ave & E 120 St
S_585,40.8029263,-73.9379,E 123 St & Lexington Ave
S_586,40.8013066,-73.9398167,Lexington Ave & E 120 St
S_587,40.8045555,-73.9396861,Park Ave & E 124 St
S_588,40.809725,-73.953149,St Nicholas Ave & Manhattan Ave
S_589,40.8011939,-73.9500739,Lenox Ave & W 115 St
S_590,40.70530954,-74.00612572,Front St & Maiden Ln
S_591,40.8078316,-73.949373,St Nicholas Ave & Manhattan Ave
S_592,40.802535,-73.9532423,Adam Clayton Powell Blvd & W 115 St
S_593,40.808442,-73.9452087,Lenox Ave & W 126 St
S_594,40.76340613,-73.97722479,W 56 St & 6 Ave
S_595,40.8107922,-73.9430681,Lenox Ave & W 130 St
S_596,40.68539567,-73.97431458,S Portland Ave & Hanson Pl
S_597,40.8125511,-73.9492286,Frederick Douglass Blvd & W 129 St
S_598,40.8114323,-73.9518776,St. Nicholas Ave & W 126 St
S_599,40.804038,-73.945925,Mt Morris Park W & W 120 St
S_600,40.8082,-73.9641,W 116 St & Broadway
S_601,40.802692,-73.96295,W 110 St & Amsterdam Ave
S_602,40.69363137,-73.96223558,Emerson Pl & Myrtle Ave
S_603,40.81,-73.9551508,Morningside Ave & W 123 St
S_604,40.813358,-73.956461,Amsterdam Ave & W 125 St
S_605,40.8086249,-73.9596214,Amsterdam Ave & W 119 St
S_606,40.8120562,-73.9612547,Broadway & W 122 St
S_607,40.8143256,-73.9590255,Broadway & Moylan Pl
S_608,40.71602118,-73.99974372,Bayard St & Baxter St
S_609,40.795508,-73.941606,3 Ave & E 112 St
S_610,40.805973,-73.964928,W 113 St & Broadway
S_611,40.801694,-73.957145,Frederick Douglass Blvd & W 112 St
S_612,40.7552433,-73.9485678,Vernon Blvd & 41 Rd
S_613,40.7527085,-73.9397405,24 St & 41 Ave
S_614,40.71622644,-73.98261206,Bialystoker Pl & Delancey St
S_615,40.754876,-73.934326,28 St & 38 Ave
S_616,40.7531106,-73.9279917,37 Ave & 35 St
S_617,40.757186,-73.932719,28 St & 36 Ave
S_618,40.7601853,-73.9362726,21 St & 36 Ave
S_619,40.7614376,-73.9411265,36 Ave & 10 St
S_620,40.7596276,-73.9321455,Crescent St & 35 Ave
S_621,40.7627442,-73.9391141,11 St & 35 Ave
S_622,40.7569332,-73.9262231,34 St & 35 Ave
S_623,40.73261787,-73.99158043,E 11 St & Broadway
S_624,40.7557327,-73.9236611,35 Ave & 37 St
S_625,40.756913,-73.921631,34 Ave & 38 St
S_626,40.7580583,-73.9242751,35 St & 34 Ave
S_627,40.7628138,-73.9342862,34 Ave & 21 St
S_628,40.73291553,-74.00711384,Christopher St & Greenwich St
S_629,40.7638753,-73.9364848,34 Ave & 13 St
S_630,40.7671863,-73.9373554,Vernon Blvd & 10 St
S_631,40.7668,-73.9347774,Broadway & 12 St
S_632,40.75510267,-73.97498696,E 47 St & Park Ave
S_633,40.7659,-73.930819,21 St & 31 Dr
S_634,40.7633589,-73.9286471,Crescent St & Broadway
S_635,40.761584,-73.925921,31 St & Broadway
S_636,40.7595701,-73.9142678,Newton Rd & 44 St
S_637,40.70717936,-74.00887308,Pike St & E Broadway
S_638,40.763154,-73.920827,31 Ave & 34 St
S_639,40.7647,-73.9240312,31 Ave & 30 St
S_640,40.7658346,-73.9265474,31 Ave & Crescent St
S_641,40.7692475,-73.9354504,Vernon Blvd & 31 Ave
S_642,40.71605866,-73.99190759,Allen St & Hester St
S_643,40.770845,-73.934171,Vernon Blvd & 30 Rd
S_644,40.75172632,-73.98753523,Broadway & W 37 St
S_645,40.70834698,-74.01713445,West Thames St
S_646,40.728048571362606,-73.97881150245667,E 12 St & Avenue B
S_647,40.75462324029105,-73.99516761302948,W 36 St & 9 Ave
S_648,40.707731483954696,-73.93452286720276,Expansion Warehouse 333 Johnson Ave
S_649,40.683238654603414,-73.96599590778351,Fulton St & Waverly Ave
S_650,40.68900443,-73.96023854,Lafayette Ave & Classon Ave
S_651,40.68223166,-73.9614583,Fulton St & Grand Ave
S_652,40.693261,-73.968896,Clinton Ave & Myrtle Ave
S_653,40.75828065,-73.97069431,E 53 St & Lexington Ave
S_654,40.73038599,-74.00214988,9 Ave & W 14 St
S_655,40.73224119,-74.00026394,Washington Pl & 6 Ave
S_656,40.694528,-73.958089,Franklin Ave & Myrtle Ave
S_657,40.69331716,-73.95381995,Willoughby Ave & Walworth St
S_658,40.72679454,-73.99695094,Mercer St & Bleecker St
S_659,40.70862144,-74.00722156,John St & William St
S_660,40.72243797,-74.00566443,6 Ave & Canal St
S_661,40.749156,-73.9916,W 31 St & 7 Ave
S_662,40.73401143,-74.00293877,W 4 St & 7 Ave S
S_663,40.73492695,-73.99200509,University Pl & E 14 St
S_664,40.735238,-74.000271,Greenwich Ave & Charles St
S_665,40.68317813,-73.9659641,Fulton St & Waverly Ave
S_666,40.75797322,-73.96603308,E 55 St & 2 Ave
S_667,40.71494807,-74.00234482,Centre St & Worth St
S_668,40.71273266,-74.0046073,Broadway & W 55 St
S_669,40.749717753,-74.002950346,W 26 St & 10 Ave
S_670,40.71044554,-73.96525063,Broadway & Berry St
S_671,40.69221589,-73.9842844,Duffield St & Willoughby St
S_672,40.69760127,-73.99344559,Clark St & Henry St
S_673,40.695065,-73.987167,Jay St & Tech Pl
S_674,40.72299208,-73.97995466,E 5 St & Avenue C
S_675,40.72521311,-73.97768752,E 9 St & Avenue C
S_676,40.68807003,-73.98410637,Bond St & Schermerhorn St
S_677,40.680342423,-73.9557689392,Lefferts Pl & Franklin Ave
S_678,40.68415748,-73.96922273,Fulton St & Clermont Ave
S_679,40.69165183,-73.9999786,Atlantic Ave & Furman St
S_680,40.68851534,-73.9647628,Lafayette Ave & St James Pl
S_681,40.71926081,-73.98178024,Pitt St & Stanton St
S_682,40.72019576,-73.98997825,Allen St & Rivington St
S_683,40.7403432,-73.98955109,Broadway & E 22 St
S_684,40.72502876,-73.99069656,E 55 St & 2 Ave
S_685,40.7405826,-74.00550867,9 Ave & W 14 St
S_686,40.739323,-74.008119,Washington St & Gansevoort St
S_687,40.69512845,-73.99595065,Hicks St & Montague St
S_688,40.700469,-73.991454,Henry St & Poplar St
S_689,40.71076228,-73.99400398,Market St & Cherry St
S_690,40.6906495,-73.95643107,DeKalb Ave & Skillman St
S_691,40.72066442,-73.98517977,Suffolk St & Stanton St
S_692,40.72228087,-73.97668709,E 6 St & Avenue D
S_693,40.7158155,-73.99422366,Forsyth St & Canal St
S_694,40.70281858,-73.98765762,Pearl St & Anchorage Pl
S_695,40.7047177,-74.00926027,Pearl St & Hanover Square
S_696,40.68753406,-73.97265183,Cumberland St & Lafayette Ave
S_697,40.71291224,-74.01020234,Barclay St & Church St
S_698,40.70224,-73.982578,Front St & Gold St
S_699,40.69580705,-73.97355569,Carlton Ave & Park Ave
S_700,40.68764484,-73.96968902,Clermont Ave & Lafayette Ave
S_701,40.69573398,-73.97129668,Clermont Ave & Park Ave
S_702,40.770513,-73.988038,W 59 St & 10 Ave
S_703,40.76584941,-73.98690506,W 54 St & 9 Ave
S_704,40.71754834,-74.01322069,W 24 St & 7 Ave
S_705,40.70251526,-74.01427023,State St
S_706,40.72467721,-73.98783413,E 3 St & 1 Ave
S_707,40.7014851,-73.98656928,York St & Jay St
S_708,40.68864636,-73.98263429,Hanover Pl & Livingston St
S_709,40.72621788,-73.98379855,E 7 St & Avenue A
S_710,40.72955361,-73.98057249,E 13 St & Avenue A
S_711,40.74317449,-74.00366443,9 Ave & W 18 St
S_712,40.74173969,-73.99415556,W 21 St & 6 Ave
S_713,40.68216564,-73.95399026,Hancock St & Bedford Ave
S_714,40.6809833854,-73.9500479759,Macon St & Nostrand Ave
S_715,40.72779126,-73.98564945,St Marks Pl & 1 Ave
S_716,40.7262807,-73.98978041,E 4 St & 2 Ave
S_717,40.75255434,-73.97282625,E 45 St & 3 Ave
S_718,40.756014,-73.967416,E 52 St & 2 Ave
S_719,40.746647,-73.993915,W 27 St & 7 Ave
S_720,40.70853074,-73.96408963,Bedford Ave & S 9th St
S_721,40.7423543,-73.98915076,Broadway & W 24 St
S_722,40.72740794,-73.98142006,Perry St & Bleecker St
S_723,40.74487634,-73.99529885,W 24 St & 7 Ave
S_724,40.76370739,-73.9851615,8 Ave & W 52 St
S_725,40.75660359,-73.9979009,Broadway & W 29 St
S_726,40.76461837,-73.98789473,W 52 St & 9 Ave
S_727,40.76227205,-73.98788205,W 38 St & 8 Ave
S_728,40.74475148,-73.99915362,W 22 St & 8 Ave
S_729,40.75455731,-73.96592976,E 51 St & 1 Ave
S_730,40.75001986,-73.96905301,1 Ave & E 44 St
S_731,40.7597108,-73.97402311,E 53 St & Madison Ave
S_732,40.76695317,-73.98169333,Broadway & W 58 St
S_733,40.751396,-74.005226,11 Ave & W 27 St
S_734,40.746745,-74.007756,W 20 St & 11 Ave
S_735,40.71285887,-73.96590294,S 4 St & Wythe Ave
S_736,40.73587678,-73.98205027,E 20 St & 2 Ave
S_737,40.74691959,-74.00451887,W 22 St & 10 Ave
S_738,40.74206539,-74.00443172,9 Ave & W 16 St
S_739,40.75934501,-73.96759673,E 56 St & 3 Ave
S_740,40.75513557,-73.98658032,Broadway & W 41 St
S_741,40.74395411,-73.99144871,W 25 St & 6 Ave
S_742,40.68312489,-73.97895137,Dean St & 4 Ave
S_743,40.7652654,-73.98192338,Broadway & W 55 St
S_744,40.76344058,-73.98268129,Broadway & W 53 St
S_745,40.74345335,-74.00004031,W 20 St & 8 Ave
S_746,40.71286844,-73.95698119,Grand St & Havemeyer St
S_747,40.7457121,-73.98194829,E 32 St & Park Ave
S_748,40.72110063,-73.9919254,Nassau St & Navy St
S_749,40.7451677,-73.98683077,5 Ave & E 29 St
S_750,40.73524276,-73.98758561,E 16 St & Irving Pl
S_751,40.74394314,-73.97966069,E 31 St & 3 Ave
S_752,40.75640548,-73.9900262,W 41 St & 8 Ave
S_753,40.76030096,-73.99884222,11 Ave & W 41 St
S_754,40.76019252,-73.9912551,Mott St & Prince St
S_755,40.76669671,-73.99061728,W 53 St & 10 Ave
S_756,40.71260486,-73.96264403,S 3 St & Bedford Ave
S_757,40.73935542,-73.99931783,W 15 St & 7 Ave
S_758,40.73223272,-73.98889957,E 12 St & 3 Ave
S_759,40.75500254,-73.98014437,W 44 St & 5 Ave
S_760,40.75038009,-73.98338988,W 37 St & 5 Ave
S_761,40.7462009,-73.98855723,Broadway & W 29 St
S_762,40.73314259,-73.97573881,Allen St & E Houston St
S_763,40.75645824,-73.99372222,W 39 St & 9 Ave
S_764,40.75066386,-74.00176802,10 Ave & W 28 St
S_765,40.751551,-73.993934,8 Ave & W 33 St
S_766,40.74096374,-73.98602213,E 24 St & Park Ave S
S_767,40.75019995,-73.99093085,W 33 St & 7 Ave
S_768,40.7568001,-73.98291153,W 45 St & 6 Ave
S_769,40.74734825,-73.99723551,W 26 St & 8 Ave
S_770,40.76269882,-73.99301222,Lexington Ave & E 24 St
S_771,40.73726186,-73.99238967,E 16 St & 5 Ave
S_772,40.73704984,-73.99009296,E 17 St & Broadway
S_773,40.74854862,-73.98808416,Broadway & W 32 St
S_774,40.76915505,-73.98191841,Broadway & W 60 St
S_775,40.76228826,-73.98336183,Broadway & W 51 St
S_776,40.744219,-73.97121214,FDR Drive & E 35 St
S_777,40.714215,-73.981346,Henry St & Grand St
S_778,40.73827428,-73.98751968,E 20 St & Park Ave
S_779,40.73221853,-73.98165557,Mott St & Prince St
S_780,40.74901271,-73.98848395,6 Ave & W 33 St
S_781,40.73912601,-73.97973776,E 25 St & 2 Ave
S_782,40.76341379,-73.99667444,Pike St & E Broadway
S_783,40.7454973,-74.00197139,9 Ave & W 22 St
S_784,40.7606597,-73.98042047,W 51 St & 6 Ave
S_785,40.72938685,-73.97772429,E 14 St & Avenue B
S_786,40.7500727,-73.99839279,W 29 St & 9 Ave
S_787,40.768254,-73.988639,W 56 St & 10 Ave
S_788,40.76087502,-74.00277668,12 Ave & W 40 St
S_789,40.76009437,-73.99461843,W 43 St & 10 Ave
S_790,40.75206862,-73.96784384,E 47 St & 1 Ave
S_791,40.75149263,-73.97798848,Pershing Square S
S_792,40.74780373,-73.9734419,Old Fulton St
S_793,40.75188406,-73.97770164,Pershing Square N
S_794,40.75992262,-73.97648516,W 52 St & 5 Ave
S_795,40.75044999,-73.99481051,8 Ave & W 31 St
S_796,40.75714758,-73.97207836,E 51 St & Lexington Ave
S_797,40.75466591,-73.99138152,W 38 St & 8 Ave
S_798,40.75527307,-73.98316936,W 43 St & 6 Ave
S_799,40.75594159,-74.0021163,W 34 St & 11 Ave
S_800,40.74765947,-73.98490707,E 33 St & 5 Ave
S_801,40.74315566,-73.97434726,E 33 St & 1 Ave
S_802,40.74290902,-73.97706058,E 39 St & 3 Ave
S_803,40.7575699,-73.99098507,Atlantic Ave & Furman St
S_804,40.771522,-73.990541,11 Ave & W 59 St
S_805,40.71893904,-73.99266288,Forsyth St & Broome St
S_806,40.710451,-73.960876,S 5 Pl & S 4 St
S_807,40.75299641,-73.98721619,Broadway & W 39 St
S_808,40.70255065,-74.0127234,Water - Whitehall Plaza
S_809,40.74144387,-73.97536082,1 Ave & E 30 St
S_810,40.74025878,-73.98409214,Lexington Ave & E 24 St
S_811,40.75795248,-73.97787642,W 49 St & 5 Ave
S_812,40.71534825,-73.96024116,Metropolitan Ave & Bedford Ave
S_813,40.74147286,-73.98320928,Lexington Ave & E 26 St
S_814,40.736502,-73.97809472,E 23 St & 1 Ave
S_815,40.74444921,-73.98303529,E 30 St & Park Ave S
S_816,40.76727216,-73.99392888,W 52 St & 11 Ave
S_817,40.71911552,-74.00666661,Franklin St & W Broadway
S_818,40.71117416,-74.00016545,St James Pl & Pearl St
S_819,40.68382604,-73.97632328,W 13 St & 7 Ave
